Name,URL
United Nations International Conference on Population and Development,https://www.un.org/ungifts/content/united-nations-international-conference-on-population-and-development
Replica of Inukshuk,https://www.un.org/ungifts/replica-inukshuk
Hope,https://www.un.org/ungifts/hope
Mola Tapestry,https://www.un.org/ungifts/mola-tapestry
Palm Tree,https://www.un.org/ungifts/palm-tree
Replica of Situla from Vače,https://www.un.org/ungifts/replica-situla-va%C4%8De
Portrait of Javier Perez de Cuellar,https://www.un.org/ungifts/portrait-javier-perez-de-cuellar
Architects of the United Nations Headquarters,https://www.un.org/ungifts/architects-united-nations-headquarters
Last Turn—Your Turn,https://www.un.org/ungifts/content/last-turn-your-turn
Moveable Metal Type Exhibit,https://www.un.org/ungifts/moveable-metal-type-exhibit
Chernobyl,https://www.un.org/ungifts/chernobyl
"New York, New York",https://www.un.org/ungifts/new-york-new-york
Replica of The Sun Chariot,https://www.un.org/ungifts/replica-sun-chariot
Good Defeats Evil,https://www.un.org/ungifts/good-defeats-evil-0
Tapestry of Loka-Nat,https://www.un.org/ungifts/tapestry-loka-nat
Mother and Child,https://www.un.org/ungifts/mother-and-child
Non-Violence,https://www.un.org/ungifts/non-violence-0
Joueur de Muet chantant la Paix et la Concorde,https://www.un.org/ungifts/content/joueur-de-muet-chantant-la-paix-etla-concorde
Kuwaiti Dhow,https://www.un.org/ungifts/kuwaiti-dhow
Portrait of Herbert H. Lehman,https://www.un.org/ungifts/portrait-herbert-h-lehman
Emblem of the International Court of Justice,https://www.un.org/ungifts/emblem-international-court-justice
Thingvellir Landscape,https://www.un.org/ungifts/thingvellir-landscape
Traditional Furniture and Artifacts Exhibit,https://www.un.org/ungifts/traditional-furniture-and-artifacts-exhibit
Alvar Aalto lounge set,https://www.un.org/ungifts/content/alvar-aalto-lounge-set
Proclamation of 1985,https://www.un.org/ungifts/proclamation-1985
El Abrazo de Paz ,https://www.un.org/ungifts/el-abrazo-de-paz-embrace-peace
The Golden Rule,https://www.un.org/ungifts/golden-rule
Nimba,https://www.un.org/ungifts/nimba
Guernica ,https://www.un.org/ungifts/guernica-tapestry-after-guernica-pablo-picasso
Todos Hombres del Mundo ,https://www.un.org/ungifts/todos-hombres-del-mundo-reassembling-history-towards-posterity
Palau Storyboard Eel,https://www.un.org/ungifts/palau-storyboard-eel
Structures,https://www.un.org/ungifts/structures
"Replica of the Royal Thai Barge ""Suphannahong""",https://www.un.org/ungifts/replica-royal-thai-barge-suphannahong
Portrait of Dag Hammarskjold,https://www.un.org/ungifts/portrait-dag-hammarskjold-0
Dawn in the Andes,https://www.un.org/ungifts/dawn-andes
Roots and Ties for Peace,https://www.un.org/ungifts/roots-and-ties-peace
Sculpture Celebrating Jean Sibelius,https://www.un.org/ungifts/sculpture-celebrating-jean-sibelius
"Kiswa, Curtain of Holy Kaaba",https://www.un.org/ungifts/kiswa-curtain-holy-kaaba
"Reclining Figure: Hand, Ed 8/9",https://www.un.org/ungifts/reclining-figure-hand-ed-89
